date,open,high,low,close,volume
2020-01-02,320.0,322.0,319.0,321.0,1000000
2020-01-03,321.0,323.0,320.0,322.0,1100000
2020-01-06,322.0,325.0,321.0,324.0,1200000
2020-01-07,324.0,326.0,323.0,325.0,1050000
2020-01-08,325.0,328.0,324.0,327.0,1300000
2020-01-09,327.0,330.0,326.0,329.0,1150000
2020-01-10,329.0,331.0,328.0,330.0,1250000
2020-01-13,330.0,333.0,329.0,332.0,1400000
2020-01-14,332.0,334.0,331.0,333.0,1350000
2020-01-15,333.0,336.0,332.0,335.0,1450000
2020-01-16,335.0,338.0,334.0,337.0,1500000
2020-01-17,337.0,340.0,336.0,339.0,1550000
2020-01-21,339.0,342.0,338.0,341.0,1600000
2020-01-22,341.0,344.0,340.0,343.0,1650000
2020-01-23,343.0,346.0,342.0,345.0,1700000
2020-01-24,345.0,348.0,344.0,347.0,1750000
2020-01-27,347.0,350.0,346.0,349.0,1800000
2020-01-28,349.0,352.0,348.0,351.0,1850000
2020-01-29,351.0,354.0,350.0,353.0,1900000
2020-01-30,353.0,356.0,352.0,355.0,1950000
2020-01-31,355.0,358.0,354.0,357.0,2000000
